Brummer	Brummer
Brummer,	Brummer
Oktavie	Oktavie
Euphrosine	Euphrosine Bendélé
Nervich	Nervich Paul
Nervich.	Nervich Paul
1. Wärter	1. Wärter
2. Wärter	2. Wärter
3. Wärter	3. Wärter
Arweiter	E'n Arweiter
Passant	E Passant
Blejele	E Blejele
Gauner	E Gauner
Papegei	D'Stimm vum e Papegei
Narr	Narr
1. unn 2. WÄRTER	1. Wärter;2. Wärter
1. unn 3. WÄRTER	1. Wärter;3. Wärter
1. unn 2. wärter	1. Wärter;2. Wärter
1. unn 3. wärter	1. Wärter;3. Wärter
BRUMMER unn NERVICH	Brummer;Nervich Paul
Brummer unn nervich	Brummer;Nervich Paul
NERVICH unn BRUMMER	Brummer;Nervich Paul
Nervich unn brummer	Nervich Paul;Brummer
